,date,season,bike_rides_daily,avgTemp
0,2022-01-01,winter,1585,11.6
1,2022-01-02,winter,3402,11.4
2,2022-01-03,winter,2567,1.4
3,2022-01-04,winter,2865,-2.7
4,2022-01-05,winter,2642,3.1999999999999997
5,2022-01-06,winter,3541,4.9
6,2022-01-07,winter,1357,0.7
7,2022-01-08,winter,1957,-2.5
8,2022-01-09,winter,1621,1.3999999999999997
9,2022-01-10,winter,2659,1.6000000000000003
10,2022-01-11,winter,2191,-5.4
11,2022-01-12,winter,3196,-1.9
12,2022-01-13,winter,3944,4.0
13,2022-01-14,winter,3599,4.8
14,2022-01-15,winter,1798,-6.7
15,2022-01-16,winter,1651,-8.0
16,2022-01-17,winter,2290,3.9
17,2022-01-18,winter,3394,1.8
18,2022-01-19,winter,4313,3.2
19,2022-01-20,winter,2718,5.1
20,2022-01-21,winter,2664,-6.0
21,2022-01-22,winter,2465,-5.9
22,2022-01-23,winter,2696,-0.7
23,2022-01-24,winter,3323,-0.2
24,2022-01-25,winter,4155,3.6
25,2022-01-26,winter,3310,-2.3
26,2022-01-27,winter,3487,-4.2
27,2022-01-28,winter,2861,0.1
28,2022-01-29,winter,221,-4.8
29,2022-01-30,winter,781,-7.1
30,2022-01-31,winter,1804,-3.4
31,2022-02-01,winter,2350,-1.7
32,2022-02-02,winter,3328,2.3
33,2022-02-03,winter,2035,6.4
34,2022-02-04,winter,1597,5.8
35,2022-02-05,winter,2402,-2.8
36,2022-02-06,winter,2289,-4.8
37,2022-02-07,winter,2438,0.5
38,2022-02-08,winter,4045,4.1
39,2022-02-09,winter,4564,2.8
40,2022-02-10,winter,4793,6.3
41,2022-02-11,winter,5290,8.6
42,2022-02-12,winter,5539,11.8
43,2022-02-13,winter,1605,2.8
44,2022-02-14,winter,2706,-4.3
45,2022-02-15,winter,3221,-4.7
46,2022-02-16,winter,4250,1.6
47,2022-02-17,winter,5289,11.6
48,2022-02-18,winter,3761,9.9
49,2022-02-19,winter,2553,0.1
50,2022-02-20,winter,2502,-2.6
51,2022-02-21,winter,4203,4.1
52,2022-02-22,winter,2919,5.6
53,2022-02-23,winter,5363,14.399999999999999
54,2022-02-24,winter,3460,1.1
55,2022-02-25,winter,2545,0.8
56,2022-02-26,winter,3354,-1.1
57,2022-02-27,winter,3352,2.4
58,2022-02-28,winter,3713,0.8
59,2022-03-01,winter,4365,2.6
60,2022-03-02,winter,5337,7.7
61,2022-03-03,winter,4475,5.6
62,2022-03-04,winter,3972,-1.9
63,2022-03-05,winter,3982,3.1
64,2022-03-06,winter,4427,9.6
65,2022-03-07,winter,5257,18.2
66,2022-03-08,winter,5076,8.7
67,2022-03-09,winter,2275,3.2
68,2022-03-10,winter,5389,4.0
69,2022-03-11,winter,5527,7.2
70,2022-03-12,winter,1532,5.1
71,2022-03-13,winter,2383,-2.3
72,2022-03-14,winter,5014,5.3
73,2022-03-15,winter,6159,11.6
74,2022-03-16,winter,6609,13.6
75,2022-03-17,winter,3963,8.2
76,2022-03-18,winter,7435,13.9
77,2022-03-19,winter,6183,13.1
78,2022-03-20,winter,5236,14.3
79,2022-03-21,winter,5955,10.4
80,2022-03-22,winter,5869,10.7
81,2022-03-23,winter,4815,7.2
82,2022-03-24,winter,3686,5.7
83,2022-03-25,winter,5960,9.6
84,2022-03-26,winter,4892,10.4
85,2022-03-27,winter,3549,5.9
86,2022-03-28,winter,2990,-1.5
87,2022-03-29,winter,3823,-1.2
88,2022-03-30,winter,4903,2.6
89,2022-03-31,winter,5768,9.9
90,2022-04-01,winter,5514,13.1
91,2022-04-02,winter,5831,7.200000000000001
92,2022-04-03,winter,2974,7.0
93,2022-04-04,winter,5565,7.6
94,2022-04-05,winter,5770,9.7
95,2022-04-06,winter,3855,8.6
96,2022-04-07,winter,2802,9.1
97,2022-04-08,winter,7017,12.8
98,2022-04-09,winter,5478,11.4
99,2022-04-10,winter,4520,8.6
100,2022-04-11,winter,5988,8.8
101,2022-04-12,winter,7483,13.4
102,2022-04-13,winter,7878,15.4
103,2022-04-14,winter,7205,16.3
104,2022-04-15,winter,8068,15.7
105,2022-04-16,winter,6613,15.7
106,2022-04-17,winter,4278,8.3
107,2022-04-18,winter,4515,7.9
108,2022-04-19,winter,4727,7.6
109,2022-04-20,winter,6674,9.4
110,2022-04-21,winter,6172,10.6
111,2022-04-22,winter,7629,14.6
112,2022-04-23,winter,7388,13.3
113,2022-04-24,winter,6705,12.8
114,2022-04-25,winter,5733,10.4
115,2022-04-26,winter,5983,11.5
116,2022-04-27,winter,6548,11.6
117,2022-04-28,winter,6332,8.2
118,2022-04-29,winter,6890,10.4
119,2022-04-30,winter,7983,12.9
120,2022-05-01,spring,7726,13.6
121,2022-05-02,spring,4348,12.1
122,2022-05-03,spring,7370,12.4
123,2022-05-04,spring,6404,12.0
124,2022-05-05,spring,8853,17.2
125,2022-05-06,spring,2862,14.799999999999999
126,2022-05-07,spring,1700,10.0
127,2022-05-08,spring,5023,10.4
128,2022-05-09,spring,7408,13.5
129,2022-05-10,spring,8291,15.4
130,2022-05-11,spring,8369,16.1
131,2022-05-12,spring,8694,17.1
132,2022-05-13,spring,7641,16.0
133,2022-05-14,spring,6449,17.9
134,2022-05-15,spring,8539,18.8
135,2022-05-16,spring,6259,20.4
136,2022-05-17,spring,9456,19.7
137,2022-05-18,spring,9495,17.8
138,2022-05-19,spring,7192,15.5
139,2022-05-20,spring,6656,15.400000000000002
140,2022-05-21,spring,9125,21.2
141,2022-05-22,spring,8294,27.8
142,2022-05-23,spring,8079,21.0
143,2022-05-24,spring,8450,17.4
144,2022-05-25,spring,9085,16.2
145,2022-05-26,spring,8808,16.4
146,2022-05-27,spring,7176,20.2
147,2022-05-28,spring,6499,20.399999999999995
148,2022-05-29,spring,7873,20.7
149,2022-05-30,spring,8073,23.3
150,2022-05-31,spring,8005,28.3
151,2022-06-01,summer,7139,17.8
152,2022-06-02,summer,7933,20.3
153,2022-06-03,summer,9646,19.5
154,2022-06-04,summer,10214,21.9
155,2022-06-05,summer,9174,20.0
156,2022-06-06,summer,8804,22.2
157,2022-06-07,summer,8225,21.8
158,2022-06-08,summer,9825,23.7
159,2022-06-09,summer,9145,24.4
160,2022-06-10,summer,9715,21.8
161,2022-06-11,summer,9360,21.8
162,2022-06-12,summer,7229,20.5
163,2022-06-13,summer,8902,24.2
164,2022-06-14,summer,9980,23.9
165,2022-06-15,summer,10097,23.3
166,2022-06-16,summer,8334,20.3
167,2022-06-17,summer,9359,25.2
168,2022-06-18,summer,8617,21.7
169,2022-06-19,summer,8509,17.3
170,2022-06-20,summer,9280,20.5
171,2022-06-21,summer,7951,22.1
172,2022-06-22,summer,7702,19.1
173,2022-06-23,summer,9360,19.2
174,2022-06-24,summer,10001,21.9
175,2022-06-25,summer,9513,25.8
176,2022-06-26,summer,8514,27.0
177,2022-06-27,summer,6256,24.300000000000004
178,2022-06-28,summer,9630,22.4
179,2022-06-29,summer,9630,23.9
180,2022-06-30,summer,9174,25.4
181,2022-07-01,summer,8362,28.1
182,2022-07-02,summer,7086,28.7
183,2022-07-03,summer,7106,26.9
184,2022-07-04,summer,7507,25.6
185,2022-07-05,summer,7021,25.9
186,2022-07-06,summer,9134,26.0
187,2022-07-07,summer,9076,24.2
188,2022-07-08,summer,7753,23.5
189,2022-07-09,summer,9880,24.7
190,2022-07-10,summer,9173,23.4
191,2022-07-11,summer,9075,24.0
192,2022-07-12,summer,9101,25.8
193,2022-07-13,summer,9681,28.899999999999995
194,2022-07-14,summer,9751,26.6
195,2022-07-15,summer,9572,26.1
196,2022-07-16,summer,8863,24.3
197,2022-07-17,summer,8673,25.7
198,2022-07-18,summer,6683,26.2
199,2022-07-19,summer,9511,28.200000000000003
200,2022-07-20,summer,9419,31.3
201,2022-07-21,summer,8601,29.8
202,2022-07-22,summer,8923,30.900000000000002
203,2022-07-23,summer,8463,30.3
204,2022-07-24,summer,8216,31.1
205,2022-07-25,summer,7677,29.8
206,2022-07-26,summer,9861,25.9
207,2022-07-27,summer,9818,25.5
208,2022-07-28,summer,9428,26.7
209,2022-07-29,summer,9120,28.2
210,2022-07-30,summer,9802,26.7
211,2022-07-31,summer,9008,26.3
212,2022-08-01,summer,7961,23.1
213,2022-08-02,summer,9679,26.4
214,2022-08-03,summer,9932,27.6
215,2022-08-04,summer,9369,29.1
216,2022-08-05,summer,9041,29.299999999999997
217,2022-08-06,summer,9992,29.6
218,2022-08-07,summer,7604,29.6
219,2022-08-08,summer,8251,30.3
220,2022-08-09,summer,8854,31.3
221,2022-08-10,summer,10113,27.2
222,2022-08-11,summer,9058,26.6
223,2022-08-12,summer,9694,25.6
224,2022-08-13,summer,10647,23.1
225,2022-08-14,summer,8984,24.0
226,2022-08-15,summer,8804,24.3
227,2022-08-16,summer,9730,23.6
228,2022-08-17,summer,9748,23.6
229,2022-08-18,summer,9679,24.1
230,2022-08-19,summer,9627,26.3
231,2022-08-20,summer,10143,27.900000000000002
232,2022-08-21,summer,8754,25.3
233,2022-08-22,summer,7008,24.5
234,2022-08-23,summer,9378,25.9
235,2022-08-24,summer,9675,26.9
236,2022-08-25,summer,9530,28.1
237,2022-08-26,summer,8534,27.4
238,2022-08-27,summer,9297,27.8
239,2022-08-28,summer,8552,24.6
240,2022-08-29,summer,8613,26.0
241,2022-08-30,summer,9065,26.8
242,2022-08-31,summer,9866,25.6
243,2022-09-01,summer,9620,25.9
244,2022-09-02,summer,9327,21.7
245,2022-09-03,summer,8605,22.8
246,2022-09-04,summer,7749,25.3
247,2022-09-05,summer,7501,25.8
248,2022-09-06,summer,3166,23.3
249,2022-09-07,summer,9069,20.8
250,2022-09-08,summer,10693,21.8
251,2022-09-09,summer,10544,21.9
252,2022-09-10,summer,10810,23.6
253,2022-09-11,summer,5543,23.2
254,2022-09-12,summer,9131,22.4
255,2022-09-13,summer,9736,24.7
256,2022-09-14,summer,10679,22.9
257,2022-09-15,summer,10521,21.8
258,2022-09-16,summer,10571,19.6
259,2022-09-17,summer,10510,20.8
260,2022-09-18,summer,9290,23.4
261,2022-09-19,summer,8212,25.6
262,2022-09-20,summer,10460,23.2
263,2022-09-21,summer,10646,22.0
264,2022-09-22,summer,7988,21.8
265,2022-09-23,summer,9037,15.099999999999998
266,2022-09-24,summer,8998,14.5
267,2022-09-25,summer,7005,19.2
268,2022-09-26,summer,8418,19.4
269,2022-09-27,summer,9567,19.7
270,2022-09-28,summer,9856,17.2
271,2022-09-29,summer,9749,16.6
272,2022-09-30,summer,9236,14.5
273,2022-10-01,fall,4809,14.799999999999999
274,2022-10-02,fall,4197,15.2
275,2022-10-03,fall,3975,11.5
276,2022-10-04,fall,4140,10.3
277,2022-10-05,fall,5486,13.8
278,2022-10-06,fall,10013,17.6
279,2022-10-07,fall,10044,20.3
280,2022-10-08,fall,8054,13.9
281,2022-10-09,fall,7565,12.3
282,2022-10-10,fall,7725,15.8
283,2022-10-11,fall,8926,17.0
284,2022-10-12,fall,9418,17.9
285,2022-10-13,fall,5785,18.7
286,2022-10-14,fall,9087,15.7
287,2022-10-15,fall,9482,16.2
288,2022-10-16,fall,8049,16.1
289,2022-10-17,fall,6941,16.6
290,2022-10-18,fall,7970,12.6
291,2022-10-19,fall,8060,10.0
292,2022-10-20,fall,8427,11.1
293,2022-10-21,fall,8704,13.4
294,2022-10-22,fall,8921,14.4
295,2022-10-23,fall,5326,14.7
296,2022-10-24,fall,5299,14.1
297,2022-10-25,fall,7942,16.9
298,2022-10-26,fall,8888,18.3
299,2022-10-27,fall,9177,16.9
300,2022-10-28,fall,8439,11.3
301,2022-10-29,fall,8325,10.8
302,2022-10-30,fall,7740,12.5
303,2022-10-31,fall,7746,14.4
304,2022-11-01,fall,8500,16.9
305,2022-11-02,fall,9439,17.6
306,2022-11-03,fall,9386,15.699999999999998
307,2022-11-04,fall,9571,15.199999999999998
308,2022-11-05,fall,9610,19.4
309,2022-11-06,fall,8386,19.8
310,2022-11-07,fall,8579,21.3
311,2022-11-08,fall,7637,13.2
312,2022-11-09,fall,7582,8.7
313,2022-11-10,fall,8839,12.6
314,2022-11-11,fall,4391,16.4
315,2022-11-12,fall,8921,19.7
316,2022-11-13,fall,5504,12.9
317,2022-11-14,fall,5856,6.299999999999999
318,2022-11-15,fall,5140,4.9
319,2022-11-16,fall,6220,7.3
320,2022-11-17,fall,6228,5.7
321,2022-11-18,fall,5864,4.5
322,2022-11-19,fall,4764,2.8
323,2022-11-20,fall,3563,2.7
324,2022-11-21,fall,4733,1.1
325,2022-11-22,fall,5970,6.6
326,2022-11-23,fall,5941,9.4
327,2022-11-24,fall,3039,8.1
328,2022-11-25,fall,3460,10.0
329,2022-11-26,fall,4694,9.3
330,2022-11-27,fall,2657,10.7
331,2022-11-28,fall,5919,12.200000000000001
332,2022-11-29,fall,6168,5.4
333,2022-11-30,fall,4440,8.4
334,2022-12-01,winter,5741,5.7
335,2022-12-02,winter,5909,3.4
336,2022-12-03,winter,3597,10.6
337,2022-12-04,winter,4957,7.0
338,2022-12-05,winter,5860,5.4
339,2022-12-06,winter,4154,9.3
340,2022-12-07,winter,5914,13.799999999999999
341,2022-12-08,winter,6967,11.6
342,2022-12-09,winter,6078,5.3
343,2022-12-10,winter,5047,2.2
344,2022-12-11,winter,2603,3.3999999999999995
345,2022-12-12,winter,4863,1.6
346,2022-12-13,winter,5156,0.3
347,2022-12-14,winter,5313,1.7000000000000002
348,2022-12-15,winter,3477,2.7000000000000006
349,2022-12-16,winter,2218,6.2
350,2022-12-17,winter,4597,5.0
351,2022-12-18,winter,3821,3.1
352,2022-12-19,winter,4257,1.7
353,2022-12-20,winter,4607,1.9
354,2022-12-21,winter,4686,1.0
355,2022-12-22,winter,3114,3.8
356,2022-12-23,winter,2085,7.5
357,2022-12-24,winter,957,-11.7
358,2022-12-25,winter,710,-6.9
359,2022-12-26,winter,1523,-4.7
360,2022-12-27,winter,2702,-0.7
361,2022-12-28,winter,3511,3.4
362,2022-12-29,winter,4095,6.4
363,2022-12-30,winter,4982,9.3
364,2022-12-31,winter,2610,8.2
